Item,Terms,Level,Tense,Suitable response categories,Direction,Context,Contributor,Date,AI-drafted,Reviewed/edited
I'm aware that life is finite and limited.,Finiteness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy going on walks with other people.,Walking with others,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes do things in excess or without limits.,Excess,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I notice what I have in common with others.,Commonality,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
A bodily disorder affects my wellbeing.,Bodily disorder,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I can persuade others effectively when needed.,Pursuation,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I express my emotions clearly when communicating.,Emotional communication,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I apologize when I've done something wrong.,Apology,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel connected to others in my local area.,Local connectivity,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy teaching or sharing what I know.,Teaching,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I actively cultivate and strengthen my relationships.,Cultivating relationships,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel spiritually alive and engaged.,Spiritual aliveness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I focus intensely when working on something important.,Intense focus,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I analyze problems before jumping into solutions.,Problem analysis,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel accepted for who I am.,Feeling accepted,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
My family life brings me happiness.,Family happiness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I respond to criticism or attack by defending myself strongly.,Counterattack,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm satisfied with my job or work role.,Job satisfaction,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm satisfied with how I spend my time.,Satisfaction with time use,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel unappreciated by those around me.,Feeling unappreciated,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I share my concerns with people I trust.,Share concerns,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I tend to repress thoughts or emotions I don't like.,Repression,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy shopping for things I need or want.,Shopping,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel emotionally detached from what's going on around me.,Detachment,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to gain an advantage over others when I can.,Gaining advantage over others,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I withhold information to protect myself or my interests.,Witholding information,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm good at identifying the real problem in a situation.,Problem identification,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel alone even when people are nearby.,Feeling alone,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have good stamina for the things I do.,Stamina,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have a realistic sense of what I can and can't control.,Realistic sense of control,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have backup plans in case things don't go as expected.,Alternative plans,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I value diversity in people and ideas.,Diversity,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I go through the day on auto-pilot without much reflection.,Living on auto-pilot,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I come up with inventive solutions to problems.,Inventiveness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm satisfied with the area I live in.,Satisfaction with local area,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel like I don't have real friends.,Feeling friendless,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Spiritual events or practices are important in my life.,Spiritual events,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel close to my romantic partner or lover.,Lover,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I notice things about people or situations that others miss.,Perceptiveness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes act in ways that mainly serve my own interests.,Self-serving behaviour,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel well-informed about the things that affect me.,Information,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel separated from the people or world around me.,Feeling separated,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes act in ways that disadvantage others.,Disadvantaging others,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have regular contact with other people.,Contact with others,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I relate easily to most people.,Relating easily,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel inferior to others.,Inferiority,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Tragedy or loss has had a lasting impact on me.,Tragedy,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I can act quickly when a situation calls for it.,Acting fast,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes hurt others unintentionally.,Hurting others,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel a sense of harmony within myself.,Inner harmony,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes feel like I'm just going through the motions.,Going through the motions,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
The health of my family affects my wellbeing.,Family health,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I experience psychological or emotional pain.,Psychological pain,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Seeing children grow and develop brings me joy.,Seeing children develop,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I approach things in life with moderation.,Moderation,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Fertility or reproductive health affects my wellbeing.,Fertility,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm able to be firm when I need to be.,Being firm,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I express myself with aggression when I'm frustrated.,Aggression,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I take vacations or breaks that help me recharge.,Vacations,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm satisfied with the lifestyle I live.,Satisfaction with lifestyle,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy doing shared activities with others.,Common activities,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I belong to a club or group that I care about.,Club,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often want to dominate or control situations.,Dominance,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I take pledges or commitments seriously.,Pledge,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I adapt my behaviour to fit different situations.,Adaptive behaviour,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I make decisions based on reason and logic.,Rationality,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I receive support when I'm unwell or in treatment.,Illness support,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I take charge when things need to get done.,Taking charge,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I share common interests with people I care about.,Common interests,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes hide my true thoughts or feelings.,Dissemblance,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I work toward resolving issues or conflict.,Resolution,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I worry excessively about things I can't control.,Excessive concern,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I find it easy to form new friendships.,Friendship formation,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I believe that life follows a divine plan.,Belief in devine plan,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes belittle others without meaning to.,Belittling,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I gather information before making important decisions.,Information gathering,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I use the internet regularly to learn or stay connected.,Internet,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I share what I have with others.,Sharing,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I bring lightness and humor into my daily life.,Lightheartedness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I show respect for the natural world.,Respect for nature,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I stay physically and mentally active.,Activity level,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to repair things when they go wrong in my relationships.,Repair attempt,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I've overcome significant adversity in my life.,Overcoming adversity,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm aware of my own and others' body language.,Awareness of body language,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I pay attention to my breathing to stay calm.,Breathing,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I've experienced vomiting that affects my wellbeing.,Vomiting,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy watching movies.,Movies,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I engage in trading or exchanging goods or services.,Trade,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I generally like the people around me.,Liking others,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I experience physical pleasure in my life.,Physical pleasure,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm proud of my profession or career path.,Profession,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
An internship has supported my personal growth or career.,Internship,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm actively looking for a job or new work opportunity.,Job-seeking,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy having variety in my daily life.,Variety,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I manage domestic tasks like cleaning and cooking.,Domestic tasks,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I actively seek information to understand the world better.,Information seeking,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I manage my time effectively.,Time management,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I receive helpful information when I need support.,Informational support,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I take part in actions that help my community or society.,Social action,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I seek professional help when facing emotional or mental challenges.,Seek professional help,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I use religious practices to help me cope with stress.,Religious coping,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to use renewable energy sources when I can.,Renewable energy use,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I like having predictability in my daily life.,Predictability,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Liver disease has impacted my health or wellbeing.,Liver disease,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes feel like I've lost my sense of self.,Losing sense of self,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I experience night terrors or disturbing dreams.,Night terrors,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I struggle to get help when I need it.,Lack of help,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy discovering new ideas or places.,Discovery,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I find it easy to ask for help when needed.,Requesting help,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
The layout of my space makes life easier for me.,Layout,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Kidney disease affects my health or daily life.,Kidney disease,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I reach out for support when I need it.,Seek support,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel safe and at ease in my house.,House,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I share emotional intimacy with someone I trust.,Emotional intimacy,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have the equipment I need to live well.,Equipment,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I value nature areas that are protected or conserved.,Protected areas,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I care about protecting a variety of animal and plant species.,Species diversity,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I thrive when I have structure in my day.,Structure,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy being in places that are visually appealing.,Aesthetic appeal,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel awake and alert during the day.,Awakeness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to avoid taking unnecessary risks.,Risk avoidance,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have comfortable and functional furniture.,Furniture,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Pain or physical conditions affect my muscles or joints.,Musculoskeletal conditions,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel effective at getting things done.,Effectiveness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to reduce my carbon emissions when I can.,Emissions,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try not to take problems too seriously.,Not taking problems too seriously,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I've built habits that support my wellbeing.,Habits,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I cope by evaluating my situation clearly and calmly.,Evaluation coping,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel supported by those who supervise or guide me.,Supervision,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel downhearted or discouraged.,Downheartedness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel fretful or uneasy.,Fretful,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I've had transcendent or spiritually meaningful experiences.,Transcendant experiences,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel energized throughout the day.,Feeling energized,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Itching or skin discomfort affects my wellbeing.,Itching,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to make meaning out of the things I go through.,Meaning making,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel a deep sense of connection with nature.,Nature connectedness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel capable of managing my responsibilities.,Ability to manage,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I reason through problems before acting.,Reasoning,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I listen to music that lifts my mood.,Listening to music,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I enjoy activities that challenge my skills without overwhelming me.,Skill-challenge balance,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Arthritis affects my comfort or ability to move.,Arthritis,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have space that feels comfortable and private.,Space,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel truly alive and engaged in life.,Feeling alive,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I seek intellectual stimulation in my daily life.,Intellectual stimulation,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I keep up with maintaining my home.,Home maintanence,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I function well in social situations.,Social funtion,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel fairly paid for the work I do.,Pay,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Air pollution affects my environment or wellbeing.,Air pollution,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I break big goals into smaller tasks.,Goal chunking,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel emotionally close in my relationships.,Relational closeness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Diabetes affects my health or daily life.,Diabetes,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Clean water is available where I live.,Surface water quality,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I live in a way that reflects my values.,Living in accordance with values,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Dementia affects someone close to me or my own wellbeing.,Dementia,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes lose touch with my sense of self.,Loss of self-awareness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I practice yoga or stretching to support my wellbeing.,Yoga,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I process information clearly and effectively.,Information processing,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I share important beliefs with the people close to me.,Shared beliefs,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel threatened or unsafe.,Threats,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
"I manage my emotions, time, and actions well.",Self-management,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I mentally rehearse important tasks or conversations.,Mental rehearsal,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Cancer has affected my life or someone close to me.,Cancer,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I face problems that weigh on my mind.,Problems,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I take a stand for what I believe is right.,Moral stand,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Breathing problems or lung conditions affect me or someone close.,Respiratory conditions,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
The physical structure I live or work in supports my wellbeing.,Physical structure,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I reassure myself when things go wrong.,Self-reassurance,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have a yard or outdoor space that I enjoy.,Yard,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have positive relationships with my co-workers.,Co-workers,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I share attitudes or values with those around me.,Shared attitudes,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I like to keep things neat and orderly.,Orderliness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I recycle regularly to help the environment.,Recycling,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I find faults in others or myself more than I'd like.,Fault-finding,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I reframe challenges in a more positive way.,Positive reframing,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel included in at least one group or community.,Group,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to live in a way that's good for the planet.,Sustainable lifestyle,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I avoid situations that make me uncomfortable.,Avoiding unpleasant situations,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I stay focused on completing tasks.,Task oriented,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Heart or blood pressure issues affect my wellbeing.,Cardiovascular conditions,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I've experienced or witnessed prejudice or discrimination.,Prejudice,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I share concerns or priorities with others in my community.,Shared concerns,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I cope with challenges by staying optimistic.,Optimistic coping,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to escape or avoid difficult situations.,Escape-avoidance,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
My financial health is strong and stable.,Financial health,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to live by my moral principles.,Morality,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel good about the area where I live.,Surrounding area,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I set clear expectations for myself and others.,Expectation,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Substance use negatively affects my wellbeing.,Substance use,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I give up on problems when they become too hard.,Behavioural disengagement,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I mentally check out when I'm feeling overwhelmed.,Mental disengagement,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have opportunities to grow and improve my life.,Opportunities,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel secure in my economic situation.,Economic status,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
My relationships with family are healthy and supportive.,Family relationships,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Constipation affects my physical comfort.,Constipation,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes ignore problems instead of dealing with them.,Ignore the problem,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I can overcome difficulties with persistence.,Overcoming difficulty,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel run down or exhausted.,Feeling run down,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
"I try to please others, even at my own expense.",People pleasing,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I am easily influenced by others.,Being influenced,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I've been hurt by people I was close to.,Relational hurt,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I budget carefully to manage my finances.,Budgeting,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I live independently and make my own choices.,Indepedence,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Smoking has impacted my health or lifestyle.,Smoking,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel desirable to others.,Desirability,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I am transparent in my communication and actions.,Transparency,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm working toward meaningful goals.,Goal,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I follow the laws and rules of my society.,Abiding by laws,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I offer support to others when they need it.,Providing social support,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes focus too much on my own needs.,Self-centeredness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I use relaxation techniques to reduce stress.,Relaxation techniques,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have good relationships with my neighbours.,Neighbours,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I receive moral support from people I trust.,Moral support,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I adapt well to changes in my life.,Adaptation,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel respected and regarded by others socially.,Social regard,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I take part in civic or community activities.,Civic activities,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I manage housekeeping tasks effectively.,Housekeeping,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm open to new experiences and perspectives.,Openness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I work to repair relationships when there's conflict.,Relational repair,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I can manage my usual daily tasks without difficulty.,Usual tasks,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I focus on what's happening in the present moment.,Present-focus,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm satisfied with my work or job.,Work satisfaction,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I participate in activities that support my community.,Community activities,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I can do most of the normal activities I enjoy.,Normal activities,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I try to understand how others feel and think.,Understanding others,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel that I'm respected by others socially.,Social esteem,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel self-conscious in social situations.,Self-consciousness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Alcohol use affects my wellbeing.,Alcohol use,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I receive recognition for my efforts.,Recognition,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I feel admired by others.,Admiration,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have financial freedom to make my own choices.,Financial freedom,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I value honesty in myself and others.,Honesty,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I have the material things I need for a good life.,Material wellbeing,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I'm willing to compromise to maintain relationships.,Compromise,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I resolve conflicts in a healthy way.,Conflict resolution,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I take time to rest and recharge.,Taking time,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I am seen as trustworthy by others.,Trustworthiness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I follow through on the things I set out to do.,Execution,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I blame myself when things go wrong.,Self-blame,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
My life feels coherent and connected.,Coherence,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
Physical immobility limits what I can do.,Being immobile,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I often feel like I don't have control over my life.,Lack of control,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
I sometimes act in selfish ways.,Selfishness,General,Present,"Agree-disagree, Not true-very true",,General,1,14/06/2025,y,
